timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:10:48.511,55.0,100.0 %,1.0 %,182.0 MiB,8151.0 MiB,37.96 W,[N/A],2730.0 MHz,12001.0 MHz
2026/07/04 19:10:49.511,55.0,100.0 %,1.0 %,278.0 MiB,8151.0 MiB,37.97 W,[N/A],2722.0 MHz,12001.0 MHz
2026/07/04 19:10:50.511,55.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.48 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:51.511,55.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.49 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:52.511,55.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.51 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:53.511,55.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.54 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:54.511,55.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.49 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:55.511,56.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.56 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:56.511,56.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.56 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:57.511,56.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.54 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:58.511,56.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.57 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:10:59.511,56.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.62 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:11:00.511,56.0,100.0 %,3.0 %,278.0 MiB,8151.0 MiB,39.65 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:11:01.511,56.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.63 W,[N/A],2715.0 MHz,12001.0 MHz
2026/07/04 19:11:02.511,56.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.64 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:03.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.48 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:04.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.55 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:05.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.53 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:06.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.56 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:07.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.51 W,[N/A],2685.0 MHz,12001.0 MHz
2026/07/04 19:11:08.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.57 W,[N/A],2692.0 MHz,12001.0 MHz
2026/07/04 19:11:09.511,57.0,100.0 %,3.0 %,470.0 MiB,8151.0 MiB,39.55 W,[N/A],2685.0 MHz,12001.0 MHz
