timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], fan.speed [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/04 19:11:17.596, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.55 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:18.597, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.53 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:19.597, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.53 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:20.598, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.51 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:21.598, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.54 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:22.599, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.48 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:23.600, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.49 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:24.600, 57, 100 %, 3 %, 782 MiB, 8151 MiB, 39.49 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:25.601, 57, 100 %, 3 %, 1196 MiB, 8151 MiB, 39.49 W, [N/A], 2670 MHz, 12001 MHz
2026/07/04 19:11:26.601, 56, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.61 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:27.602, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.67 W, [N/A], 2662 MHz, 12001 MHz
2026/07/04 19:11:28.602, 56, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.78 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:29.603, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.75 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:30.604, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.72 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:31.604, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.76 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:32.605, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.81 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:33.605, 56, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.77 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:34.606, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.74 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:35.607, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.73 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:36.607, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.77 W, [N/A], 2662 MHz, 12001 MHz
2026/07/04 19:11:37.608, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.74 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:38.608, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.75 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:39.609, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.79 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:40.610, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.73 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:41.610, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.76 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:42.611, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.78 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:43.611, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.76 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:44.612, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.83 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:45.612, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.75 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:46.613, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.74 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:47.613, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.74 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:48.614, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.78 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:49.615, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.75 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:50.615, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.80 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:51.616, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.75 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:52.616, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.76 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:53.617, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.80 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:54.618, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.79 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:55.618, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.78 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:11:56.619, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.73 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:57.619, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.77 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:11:58.620, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.82 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:11:59.620, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.75 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:00.621, 57, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.81 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:01.622, 57, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.79 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:02.622, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.75 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:03.623, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.88 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:04.623, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.81 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:05.624, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.86 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:06.624, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.82 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:07.625, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.81 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:08.625, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.81 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:09.626, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.82 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:10.627, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.88 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:11.627, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.84 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:12.628, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.83 W, [N/A], 2647 MHz, 12001 MHz
2026/07/04 19:12:13.628, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.91 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:14.629, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.92 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:15.629, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.85 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:16.630, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.90 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:17.630, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.90 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:18.631, 58, 100 %, 5 %, 1334 MiB, 8151 MiB, 40.89 W, [N/A], 2655 MHz, 12001 MHz
2026/07/04 19:12:19.632, 58, 100 %, 6 %, 1334 MiB, 8151 MiB, 40.90 W, [N/A], 2655 MHz, 12001 MHz
